epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4908.99,1.68532,2.53797,1.92455,0.40559,0.29067,0.17772,0.0664,2.13729,2.73835,2.1504,0.000795698,0.000795698,0.000795698
88,4965.37,1.69651,2.52196,1.95272,0.61011,0.16485,0.14132,0.05676,2.09637,2.92306,2.19147,0.000792032,0.000792032,0.000792032
89,5022.18,1.67665,2.47057,1.92421,0.50769,0.2303,0.15528,0.0597,2.01621,3.0414,2.13172,0.000788366,0.000788366,0.000788366
90,5078.9,1.68253,2.50415,1.97183,0.527,0.19399,0.16496,0.05422,2.06433,3.02586,2.20403,0.000784699,0.000784699,0.000784699
91,5135.96,1.65659,2.52534,1.933,0.6527,0.19394,0.20085,0.04795,2.191,3.03659,2.33338,0.000781033,0.000781033,0.000781033
92,5193.4,1.65335,2.5311,1.91218,0.4196,0.2103,0.14156,0.04683,2.24417,2.96442,2.39294,0.000777367,0.000777367,0.000777367
93,5250.04,1.65303,2.37266,1.89459,0.13903,0.20685,0.11732,0.04691,2.1654,3.01693,2.35229,0.0007737,0.0007737,0.0007737
94,5306.69,1.70116,2.56684,1.96952,0.13112,0.21356,0.10769,0.04618,2.09797,2.93158,2.21341,0.000770034,0.000770034,0.000770034
95,5363.59,1.63245,2.39312,1.85795,0.33704,0.23558,0.11454,0.0574,2.03182,2.76236,2.22982,0.000766368,0.000766368,0.000766368
96,5420.79,1.70537,2.46934,1.96156,0.5069,0.14035,0.12647,0.05236,2.05481,2.71668,2.19171,0.000762702,0.000762702,0.000762702
97,5476.42,1.70275,2.50451,1.91204,0.48076,0.26667,0.16203,0.07392,1.94636,2.85593,2.09307,0.000759035,0.000759035,0.000759035
98,5532.16,1.62498,2.43119,1.91186,0.31074,0.27394,0.12269,0.05674,1.94882,2.95893,2.0655,0.000755369,0.000755369,0.000755369
99,5589.46,1.68823,2.43589,1.90584,0.34988,0.23758,0.1277,0.0516,2.0629,2.84177,2.04295,0.000751703,0.000751703,0.000751703
100,5645.8,1.66499,2.36188,1.93894,0.34311,0.27939,0.15189,0.06615,2.07606,2.5912,2.07895,0.000748036,0.000748036,0.000748036
101,5702.75,1.60092,2.26992,1.83566,0.29265,0.20409,0.14445,0.06394,2.05967,2.6617,2.12064,0.00074437,0.00074437,0.00074437
102,5759.23,1.69302,2.37313,1.94892,0.397,0.23891,0.15661,0.06986,2.00683,2.75324,2.12235,0.000740704,0.000740704,0.000740704
103,5816.15,1.60954,2.36825,1.86184,0.55467,0.2103,0.12467,0.04914,1.99533,2.72845,2.09829,0.000737037,0.000737037,0.000737037
104,5872.4,1.62775,2.366,1.88396,0.37748,0.2103,0.14639,0.05784,2.05713,2.68789,2.13519,0.000733371,0.000733371,0.000733371
105,5928.94,1.6237,2.34237,1.9018,0.42711,0.21847,0.18889,0.04967,2.23011,2.68649,2.3449,0.000729705,0.000729705,0.000729705
106,5984.13,1.67175,2.38336,1.8933,0.45929,0.1903,0.18537,0.05032,2.24236,2.81673,2.4001,0.000726038,0.000726038,0.000726038
107,6041.66,1.58828,2.34142,1.83988,0.39303,0.20848,0.11895,0.05225,2.07458,2.98089,2.20071,0.000722372,0.000722372,0.000722372
108,6097.73,1.69299,2.44235,1.91573,0.37128,0.19939,0.10755,0.05189,2.05675,2.92845,2.15498,0.000718706,0.000718706,0.000718706
109,6154.76,1.62531,2.34744,1.8585,0.3791,0.19212,0.16957,0.06874,2.09765,2.7811,2.24381,0.00071504,0.00071504,0.00071504
110,6211.38,1.60819,2.3584,1.87835,0.52445,0.19212,0.21383,0.06769,2.11418,2.89997,2.31021,0.000711373,0.000711373,0.000711373
111,6267.76,1.67929,2.3187,1.93571,0.40757,0.22199,0.16786,0.05754,2.06856,2.81626,2.23504,0.000707707,0.000707707,0.000707707
112,6326.01,1.59726,2.29887,1.82448,0.13093,0.18182,0.14483,0.05031,2.02487,2.628,2.01176,0.000704041,0.000704041,0.000704041
113,6382.43,1.55266,2.23457,1.80762,0.29239,0.17091,0.11729,0.05129,2.00313,2.56003,2.01928,0.000700374,0.000700374,0.000700374
114,6439.14,1.59859,2.34773,1.87012,0.50579,0.16182,0.13776,0.06353,1.97899,2.54923,1.99819,0.000696708,0.000696708,0.000696708
115,6495.64,1.54198,2.21564,1.81225,0.60495,0.23758,0.16321,0.0785,2.00697,2.61757,2.11446,0.000693042,0.000693042,0.000693042
116,6551.9,1.56392,2.15034,1.80962,0.16237,0.24389,0.17156,0.06768,2.06889,2.70854,2.18548,0.000689376,0.000689376,0.000689376
117,6608.89,1.59444,2.16917,1.86921,0.41837,0.25688,0.13222,0.04697,2.01904,2.82633,2.13586,0.000685709,0.000685709,0.000685709
118,6664.88,1.57924,2.30674,1.82954,0.38829,0.22083,0.13614,0.05471,1.94605,2.87846,2.05934,0.000682043,0.000682043,0.000682043
119,6721.06,1.531,2.19616,1.8062,0.33442,0.21939,0.1015,0.04816,1.96143,3.01633,2.0275,0.000678377,0.000678377,0.000678377
120,6777.42,1.57335,2.12541,1.81048,0.36873,0.23497,0.16179,0.05958,2.08367,2.62287,2.14449,0.00067471,0.00067471,0.00067471
121,6834.38,1.59046,2.31865,1.85502,0.38825,0.21283,0.1766,0.06389,2.11183,2.49812,2.22055,0.000671044,0.000671044,0.000671044
122,6890.48,1.58936,2.14974,1.81601,0.64479,0.20303,0.17949,0.06817,2.09703,2.54812,2.17342,0.000667378,0.000667378,0.000667378
123,6946.91,1.58295,2.14472,1.79953,0.54758,0.17212,0.09837,0.05167,2.11948,2.9345,2.1619,0.000663711,0.000663711,0.000663711
124,7002.49,1.53941,2.12311,1.78066,0.5564,0.12303,0.11881,0.06578,2.14616,3.09177,2.17138,0.000660045,0.000660045,0.000660045
125,7058.17,1.52276,2.09956,1.76268,0.37462,0.14121,0.13414,0.05223,2.12978,2.77113,2.17651,0.000656379,0.000656379,0.000656379
126,7114.22,1.51055,2.0747,1.76995,0.34955,0.1503,0.11711,0.04958,2.06231,2.73693,2.11811,0.000652712,0.000652712,0.000652712
127,7170.2,1.51145,2.08391,1.80796,0.34562,0.25566,0.10895,0.04091,2.12226,2.71067,2.17708,0.000649046,0.000649046,0.000649046
128,7226.53,1.50521,2.18002,1.74538,0.40233,0.21212,0.15813,0.06118,2.08869,2.65117,2.14893,0.00064538,0.00064538,0.00064538
129,7284.03,1.50213,2.12588,1.78878,0.3571,0.2103,0.13715,0.05396,2.03594,2.78153,2.15285,0.000641714,0.000641714,0.000641714
130,7340.3,1.49953,2.09395,1.75458,0.14364,0.21939,0.12655,0.05683,2.01834,2.79474,2.08694,0.000638047,0.000638047,0.000638047
131,7396.28,1.5281,2.07625,1.76083,0.36898,0.19672,0.13644,0.06784,1.99257,2.83633,1.99546,0.000634381,0.000634381,0.000634381
132,7451.65,1.47812,1.96963,1.72536,0.3153,0.25576,0.12153,0.05709,2.0197,2.75132,2.0609,0.000630715,0.000630715,0.000630715
133,7509.68,1.49482,2.02447,1.73783,0.12416,0.25576,0.13516,0.05958,2.0806,2.66376,2.16378,0.000627048,0.000627048,0.000627048
134,7565.73,1.55669,2.07367,1.80389,0.5685,0.18848,0.14311,0.06102,2.01181,2.69414,2.13447,0.000623382,0.000623382,0.000623382
135,7621.51,1.44734,2.01753,1.73484,0.10514,0.19758,0.14959,0.07051,1.96226,2.89726,2.02005,0.000619716,0.000619716,0.000619716
136,7676.83,1.57044,2.0921,1.80567,0.31699,0.21135,0.15394,0.06641,1.90863,2.78383,1.97715,0.000616049,0.000616049,0.000616049
137,7732.46,1.52032,2.01622,1.76889,0.3548,0.16303,0.16949,0.05874,1.93507,2.78186,2.02988,0.000612383,0.000612383,0.000612383
138,7787.82,1.50596,2.01353,1.73582,0.596,0.1611,0.13041,0.05126,1.97781,2.76642,2.07569,0.000608717,0.000608717,0.000608717
139,7843.35,1.49114,2.09065,1.78038,0.5516,0.20013,0.12597,0.05263,1.98496,2.88073,2.07766,0.000605051,0.000605051,0.000605051
140,7899.63,1.45417,1.92754,1.75996,0.51961,0.1703,0.14814,0.06448,2.01116,2.78989,2.10164,0.000601384,0.000601384,0.000601384
141,7955.64,1.41137,2.00367,1.66243,0.11851,0.26667,0.1388,0.05854,2.00249,2.69634,2.08079,0.000597718,0.000597718,0.000597718
142,8011.48,1.43908,1.96844,1.67768,0.09412,0.19464,0.12766,0.05656,1.98313,2.71314,2.10108,0.000594052,0.000594052,0.000594052
143,8067.14,1.47612,1.98074,1.73966,0.09524,0.21758,0.11428,0.05429,1.8902,2.75865,2.02644,0.000590385,0.000590385,0.000590385
144,8123.47,1.41725,1.97678,1.70324,0.13812,0.18121,0.12719,0.05684,1.93028,2.75796,2.03887,0.000586719,0.000586719,0.000586719
145,8180.91,1.59776,2.0141,1.82718,0.14705,0.24152,0.16639,0.05648,2.00605,2.7719,2.14174,0.000583053,0.000583053,0.000583053
146,8235.9,1.47581,2.04618,1.73112,0.17572,0.23758,0.16975,0.06044,2.01348,2.80675,2.17353,0.000579386,0.000579386,0.000579386
147,8292.48,1.44042,1.97344,1.69486,0.6881,0.1578,0.19676,0.0734,2.02849,2.72689,2.12761,0.00057572,0.00057572,0.00057572
148,8348.46,1.48375,2.01116,1.75016,0.38389,0.18464,0.15494,0.06977,1.9446,2.74024,2.07688,0.000572054,0.000572054,0.000572054
149,8404.22,1.48498,1.88385,1.73608,0.15996,0.30303,0.16363,0.06517,1.92197,2.56904,2.02098,0.000568388,0.000568388,0.000568388
150,8461,1.47646,2.00296,1.76457,0.14156,0.29101,0.17557,0.07108,1.94246,2.58653,2.05592,0.000564721,0.000564721,0.000564721
151,8517.5,1.52373,2.00891,1.76947,0.36379,0.17212,0.1406,0.06033,1.90701,2.85753,2.05493,0.000561055,0.000561055,0.000561055
152,8574.09,1.45012,1.90501,1.70146,0.3713,0.17212,0.14128,0.06504,1.97197,2.9129,2.09876,0.000557389,0.000557389,0.000557389
153,8632.13,1.48443,1.92186,1.72926,0.37085,0.20848,0.16252,0.06278,2.0396,2.67235,2.13249,0.000553722,0.000553722,0.000553722
154,8688.71,1.44415,1.90307,1.70695,0.18277,0.22572,0.16893,0.06339,2.06694,2.6264,2.17979,0.000550056,0.000550056,0.000550056
155,8745.08,1.45804,1.88147,1.74913,0.17087,0.19059,0.18247,0.06748,2.16127,2.62245,2.29489,0.00054639,0.00054639,0.00054639
156,8801.37,1.48693,2.04765,1.82831,0.17429,0.20848,0.16085,0.05629,2.13748,2.66562,2.26507,0.000542723,0.000542723,0.000542723
157,8857.27,1.48439,1.92742,1.7716,0.41854,0.17552,0.15172,0.05777,2.03793,2.71746,2.24231,0.000539057,0.000539057,0.000539057
158,8912.75,1.51615,1.87015,1.79791,0.16382,0.19614,0.13658,0.05163,2.04206,2.68433,2.26937,0.000535391,0.000535391,0.000535391
159,8969.35,1.3854,1.88954,1.66966,0.15195,0.20848,0.13589,0.04887,2.0633,2.67874,2.27524,0.000531725,0.000531725,0.000531725
160,9025.54,1.43603,1.83645,1.6773,0.19223,0.19939,0.14893,0.06096,2.01304,2.75714,2.15628,0.000528058,0.000528058,0.000528058
161,9083.94,1.47806,1.9449,1.72035,0.22493,0.22279,0.19837,0.09605,1.95566,2.81723,2.00964,0.000524392,0.000524392,0.000524392
162,9140.21,1.41945,1.81207,1.68135,0.22379,0.21818,0.20441,0.10338,1.98479,2.77229,2.02699,0.000520726,0.000520726,0.000520726
163,9195.49,1.43917,1.92022,1.69353,0.40437,0.22121,0.1954,0.09994,2.04686,2.56843,2.09488,0.000517059,0.000517059,0.000517059
164,9251.95,1.37422,1.74793,1.63685,0.40824,0.19212,0.19094,0.09847,1.98118,2.56309,2.02117,0.000513393,0.000513393,0.000513393
165,9308.98,1.44015,1.80004,1.67988,0.33594,0.2103,0.17553,0.07854,1.97231,2.68278,2.02921,0.000509727,0.000509727,0.000509727
166,9367.09,1.43207,1.85362,1.70053,0.33048,0.2103,0.17096,0.07883,1.98984,2.83233,2.05736,0.00050606,0.00050606,0.00050606
167,9423.76,1.37508,1.80246,1.63065,0.11961,0.16303,0.09364,0.04167,2.05762,2.93564,2.1832,0.000502394,0.000502394,0.000502394
168,9482.39,1.43805,1.85743,1.72422,0.35814,0.17394,0.12257,0.05035,2.14316,2.84778,2.26703,0.000498728,0.000498728,0.000498728
169,9538.72,1.39644,1.78781,1.66008,0.37668,0.19591,0.14044,0.04913,2.19731,2.71347,2.3047,0.000495062,0.000495062,0.000495062
170,9594.74,1.38897,1.79758,1.64777,0.37426,0.20121,0.13675,0.0532,2.19931,2.67243,2.29289,0.000491395,0.000491395,0.000491395
171,9651.22,1.41352,1.73995,1.68628,0.43357,0.2012,0.15827,0.05822,2.19975,2.65224,2.3366,0.000487729,0.000487729,0.000487729
172,9707.39,1.39016,1.75046,1.66013,0.41939,0.19212,0.16164,0.06326,2.16776,2.72809,2.25434,0.000484063,0.000484063,0.000484063
