segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
211,582,387,589,414,585.5,400.5,27.892651361962706,104.53445508054011,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
2,586,377,597,425,591.5,401.0,49.24428900898052,102.90740867126584,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
288,580,414,583,393,581.5,403.5,21.213203435596427,81.86989764584403,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
143,722,408,741,390,731.5,399.0,26.1725046566048,43.45184230102203,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
60,576,393,578,415,577.0,404.0,22.090722034374522,95.1944289077348,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
290,618,419,625,390,621.5,404.5,29.832867780352597,76.42956561483852,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
117,620,416,628,395,624.0,405.5,22.47220505424423,69.14554196042165,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
163,585,418,625,396,605.0,407.0,45.65084884205331,28.810793742973058,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
88,619,378,622,439,620.5,408.5,61.07372593840988,92.81555668421123,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
170,587,433,602,390,594.5,411.5,45.5411901469428,70.76932762433871,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
239,445,428,453,408,449.0,418.0,21.540659228538015,68.19859051364818,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
15,584,426,585,404,584.5,415.0,22.02271554554524,87.39743779750019,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
